#year mounth temperature ice_cream_sales
2018 1 10 507
2018 2 10 416
2018 3 14 607
2018 4 19 746
2018 5 23 894
2018 6 26 1021
2018 7 30 1506
2018 8 31 1443
2018 9 27 861
2018 10 22 640
2018 11 17 492
2018 12 12 537
2019 1 9 494
2019 2 11 423
2019 3 12 542
2019 4 18 667
2019 5 23 1000
2019 6 25 991
2019 7 29 1236
2019 8 31 1513
2019 9 26 996
2019 10 20 724
2019 11 15 531
2019 12 10 584
2020 1 10 510
2020 2 11 482
2020 3 13 610
2020 4 20 689
2020 5 24 1040
2020 6 26 1123
2020 7 30 1155
2020 8 32 1658
2020 9 27 1025
2020 10 23 649
2020 11 18 537
2020 12 13 599
2021 1 11 510
2021 2 11 458
2021 3 12 602
2021 4 17 708
2021 5 23 915
2021 6 24 1089
2021 7 28 1485
2021 8 31 1427
2021 9 27 973
2021 10 20 779
2021 11 16 582
2021 12 12 620
2022 1 11 581
2022 2 12 504
2022 3 13 631
2022 4 19 781
2022 5 24 975
2022 6 25 1109
2022 7 28 1551
2022 8 31 1516
2022 9 28 1083
2022 10 21 794
2022 11 16 660
2022 12 10 663
